Run, SubRun, Event
20.8855 , 5.53091 , 23.5344
20.9456 , 5.53522 , 23.078
21.0062 , 5.53958 , 22.6171
21.0693 , 5.54411 , 22.1366
21.1924 , 5.55295 , 21.201
21.2403 , 5.55768 , 20.7317
21.2691 , 5.56267 , 20.2752
21.2982 , 5.56772 , 19.8141
21.3295 , 5.57316 , 19.3168
21.3587 , 5.57821 , 18.8547
21.4172 , 5.58836 , 17.927
21.4463 , 5.5934 , 17.4654
21.4749 , 5.59837 , 17.011
21.4976 , 5.60149 , 16.552
21.5147 , 5.60286 , 16.0883
21.5318 , 5.60423 , 15.6269
21.5489 , 5.60559 , 15.1645
21.5659 , 5.60695 , 14.7048
21.583 , 5.60832 , 14.2434
21.6 , 5.60968 , 13.7829
21.617 , 5.61105 , 13.3215
21.6346 , 5.61245 , 12.8464
21.6531 , 5.6146 , 12.4288
21.7182 , 5.63025 , 11.9697
21.7976 , 5.64934 , 11.4096
21.8507 , 5.6621 , 11.035
21.9306 , 5.6813 , 10.4718
21.9971 , 5.69727 , 10.0029
22.0631 , 5.71314 , 9.53741
22.1295 , 5.7291 , 9.06903
22.1938 , 5.74455 , 8.6156
22.2498 , 5.76247 , 8.14626
22.2951 , 5.7827 , 7.67125
22.34 , 5.80281 , 7.1994
22.386 , 5.82338 , 6.71641
22.4312 , 5.84359 , 6.24218
22.4742 , 5.86282 , 5.79057
22.5189 , 5.88282 , 5.32114
22.5651 , 5.90349 , 4.83611
22.6113 , 5.92418 , 4.35042
22.6662 , 5.94357 , 3.87469
22.7218 , 5.96268 , 3.40285
22.7767 , 5.98155 , 2.93714
22.8324 , 6.0007 , 2.46454
22.8868 , 6.01937 , 2.00373


Run, SubRun, Event
6261 , 20 , 895

17.1738 , 0.12282 , 1.70357
17.1361 , 0.0883407 , 2.17969
17.0975 , 0.0531192 , 2.66605
17.059 , 0.0178741 , 3.15274
17.021 , -0.0167978 , 3.63152
16.9826 , -0.0518672 , 4.11578
16.9448 , -0.0864548 , 4.5934
16.9068 , -0.121112 , 5.07197
16.8681 , -0.156486 , 5.56045
16.8293 , -0.191956 , 6.05024
16.7914 , -0.22655 , 6.52793
16.7541 , -0.26067 , 6.99909
16.7155 , -0.295907 , 7.48568
16.6778 , -0.330382 , 7.96174
16.6385 , -0.366266 , 8.45725
16.6083 , -0.401622 , 8.94353
16.5821 , -0.437083 , 9.43033
16.5573 , -0.470577 , 9.89014
16.5312 , -0.505765 , 10.3732
16.5049 , -0.541403 , 10.8624
16.4787 , -0.576772 , 11.348
16.4531 , -0.611392 , 11.8232
16.4271 , -0.646507 , 12.3053
16.4011 , -0.681646 , 12.7876
16.3748 , -0.717136 , 13.2748
16.3489 , -0.752172 , 13.7558
16.323 , -0.787253 , 14.2374
16.2973 , -0.823074 , 14.7172
16.2716 , -0.859823 , 15.202
16.2458 , -0.896632 , 15.6875
16.22 , -0.933312 , 16.1713
16.1945 , -0.969702 , 16.6513
16.169 , -1.00608 , 17.1312
16.1431 , -1.043 , 17.6182
16.1173 , -1.07984 , 18.1041
16.0919 , -1.11608 , 18.5821
16.0663 , -1.1526 , 19.0638
16.0405 , -1.18941 , 19.5494
16.0147 , -1.22618 , 20.0344
15.9906 , -1.26324 , 20.5186
15.9755 , -1.30197 , 20.9995
15.9603 , -1.34091 , 21.483
15.9451 , -1.3801 , 21.9696
15.9298 , -1.41925 , 22.4558
15.9147 , -1.45814 , 22.9386
15.8995 , -1.49711 , 23.4224
15.8843 , -1.536 , 23.9053
15.8692 , -1.57487 , 24.388
15.8538 , -1.61436 , 24.8783
15.8387 , -1.65309 , 25.3592
15.8235 , -1.6921 , 25.8435
15.8084 , -1.73088 , 26.3251
15.7935 , -1.77071 , 26.814
15.7789 , -1.81072 , 27.3012
15.7645 , -1.85034 , 27.7839
15.75 , -1.89009 , 28.268
15.7355 , -1.92989 , 28.7528
15.7208 , -1.9701 , 29.2425
15.7064 , -2.00957 , 29.7232
15.6919 , -2.04949 , 30.2094
15.6774 , -2.08923 , 30.6934
15.663 , -2.12866 , 31.1737
15.6482 , -2.1691 , 31.6662
15.6339 , -2.20855 , 32.1468
15.6208 , -2.24752 , 32.6313
15.6105 , -2.285 , 33.1155
15.6001 , -2.32245 , 33.5992
15.5898 , -2.35984 , 34.0821
15.5794 , -2.39714 , 34.5639
15.569 , -2.43486 , 35.0511
15.5587 , -2.4722 , 35.5334
15.5483 , -2.50971 , 36.0179
15.5379 , -2.54706 , 36.5004
15.5276 , -2.58446 , 36.9834
15.5172 , -2.62193 , 37.4674
15.5068 , -2.65945 , 37.952
15.4965 , -2.69611 , 38.4347
15.4861 , -2.72889 , 38.9135
15.4757 , -2.76181 , 39.3944
15.4651 , -2.79516 , 39.8816
15.4549 , -2.8277 , 40.357
15.4444 , -2.86068 , 40.8387
15.4341 , -2.8934 , 41.3166
15.4236 , -2.92655 , 41.801
15.4132 , -2.95943 , 42.2813
15.4028 , -2.99228 , 42.761
15.3924 , -3.02534 , 43.2441
15.382 , -3.05814 , 43.7232
15.3716 , -3.0909 , 44.2026
15.35 , -3.14975 , 45.1613
15.3391 , -3.17925 , 45.6419
15.3283 , -3.20858 , 46.1197
15.3174 , -3.23811 , 46.6007
15.3067 , -3.26734 , 47.077
15.2958 , -3.29684 , 47.5575
15.285 , -3.32612 , 48.0347
15.2743 , -3.35531 , 48.5101
15.2634 , -3.38483 , 48.9911
15.2525 , -3.41447 , 49.4741
15.2368 , -3.44033 , 49.9495
15.2163 , -3.46289 , 50.4242
15.196 , -3.48528 , 50.8952
15.1752 , -3.50821 , 51.3777
15.1548 , -3.53064 , 51.8495
15.1342 , -3.55328 , 52.3258
15.1138 , -3.57576 , 52.7988
15.0933 , -3.59831 , 53.2734
15.0727 , -3.62099 , 53.7504
15.0524 , -3.64337 , 54.2213
15.0319 , -3.66592 , 54.6958
15.0114 , -3.68794 , 55.1738
14.9921 , -3.70379 , 55.6443
14.9729 , -3.71961 , 56.1135
14.9537 , -3.73546 , 56.5839
14.9344 , -3.75137 , 57.0559
14.9149 , -3.76739 , 57.5312
14.8957 , -3.78327 , 58.0024
14.8765 , -3.79903 , 58.47
14.8573 , -3.81489 , 58.9404
14.838 , -3.83076 , 59.4113
14.8187 , -3.84666 , 59.8832
14.7994 , -3.8626 , 60.3562
14.7788 , -3.87572 , 60.8274
14.7585 , -3.88827 , 61.2898
14.7379 , -3.90103 , 61.7599
14.7173 , -3.91373 , 62.2281
14.6966 , -3.92651 , 62.6991
14.6759 , -3.9393 , 63.1704
14.6555 , -3.95195 , 63.6365
14.6348 , -3.96474 , 64.108
14.6142 , -3.97741 , 64.5749
14.5935 , -3.99022 , 65.047
14.5728 , -4.00302 , 65.5189
14.5523 , -4.01569 , 65.9858
14.5362 , -4.03195 , 66.4553
14.5227 , -4.05036 , 66.9287
14.5091 , -4.06872 , 67.4004
14.4955 , -4.08721 , 67.8757
14.482 , -4.10562 , 68.3488
14.4685 , -4.12388 , 68.818
14.4549 , -4.14229 , 69.2911
14.4414 , -4.16065 , 69.7629
14.4278 , -4.17911 , 70.2375
14.4143 , -4.19753 , 70.7107
14.4008 , -4.21575 , 71.1792
